Codice Articolo,Lob Associata,Lob Associata Orig Norm,Lob Associata Cleaned,Nome LOB,LOB Cleaning Decision
0151254-24,1,1,01,IMPIANTI,fix_by_name_prefix2
14208-08,4,4,04999,COLLABORATION,fix_by_name_prefix2
16QT2200315,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
33-912.0931,4,4,04999,COLLABORATION,fix_by_name_prefix2
33-917.227,4,4,04999,COLLABORATION,fix_by_name_prefix2
33-918.002,4,4,04999,COLLABORATION,fix_by_name_prefix2
798-0714,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
81681,4,4,04999,COLLABORATION,fix_by_name_prefix2
ABBIGLIAMENTO,99,99,99999,VARIE,fix_by_name_prefix2
ACTELKIT,4,4,04999,COLLABORATION,fix_by_name_prefix2
B085Y9Z9RF,99,99,99999,VARIE,fix_by_name_prefix2
B086H2BFLD,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
B08C5JC4TB,99,99,99999,VARIE,fix_by_name_prefix2
BTIF315P18,12,12,12999,ALTRI RICAVI E PROVENTI,fix_by_name_prefix2
C9115AXI-MULTI,2,2,02999,APPARATI,fix_by_name_prefix2
CENA,99,99,99999,VARIE,fix_by_name_prefix2
CTS-ST-ARR60-WMK=,4,4,04999,COLLABORATION,fix_by_name_prefix2
DNA-P-T0-E-3Y,3,3,03999,CLOUD TECHNOLOGIES,fix_by_name_prefix2
DSTACK-T0-E,3,3,03999,CLOUD TECHNOLOGIES,fix_by_name_prefix2
EU5050RGBLY,99,99,99999,VARIE,fix_by_name_prefix2
EVENTO10,99,99,99999,VARIE,fix_by_name_prefix2
EVN-SAAS-XS,2,2,02999,APPARATI,fix_by_name_prefix2
FPR1140T-TM,2,2,02999,APPARATI,fix_by_name_prefix2
GELATI,99,99,99999,VARIE,fix_by_name_prefix2
GLD-FLT-VEM/PRM,99,99,99999,VARIE,fix_by_name_prefix2
GRIGLIA,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
GVSUPS20KHS,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
H11659,2,2,02999,APPARATI,fix_by_name_prefix2
IMPOSTA DI SOGGIORNO,99,99,99999,VARIE,fix_by_name_prefix2
L-FLA1-1X-10-20G=,3,3,03999,CLOUD TECHNOLOGIES,fix_by_name_prefix2
L-FPR1140T-TM-3Y,2,2,02999,APPARATI,fix_by_name_prefix2
LH55QETELGCXEN,4,4,04999,COLLABORATION,fix_by_name_prefix2
LS220,16,16,16999,CORSI IN AULA,fix_by_name_prefix2
MPH,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
MR28-HW,2,2,02999,APPARATI,fix_by_name_prefix2
NWSTACK-T0-E,2,2,02999,APPARATI,fix_by_name_prefix2
PARTNERSHIP,99,99,99999,VARIE,fix_by_name_prefix2
PRESTAZIONE FPO,99,99,99999,VARIE,fix_by_name_prefix2
QSFP-100G-SM-SR=,2,2,02999,APPARATI,fix_by_name_prefix2
RCF DU-B101,2,2,02999,APPARATI,fix_by_name_prefix2
SUBS-STORAGEGRID-UPG,3,3,03999,CLOUD TECHNOLOGIES,fix_by_name_prefix2
SVS-PDNA-ESS,3,3,03999,CLOUD TECHNOLOGIES,fix_by_name_prefix2
SW9115AX-CAPWAP-K9,2,2,02999,APPARATI,fix_by_name_prefix2
SXWSWASES00001,24,24,24999,DIGITAL BUILDING,fix_by_name_prefix2
TAZZA A,99,99,99999,VARIE,fix_by_name_prefix2
TIMELAPSE-TOOL,99,99,99999,VARIE,fix_by_name_prefix2
TIPOGRAFIA,99,99,99999,VARIE,fix_by_name_prefix2
TSS-7-W-S-LB KIT,4,4,04999,COLLABORATION,fix_by_name_prefix2
U855QL,4,4,04999,COLLABORATION,fix_by_name_prefix2
VAR-STK-VS8M-MINI-5G,99,99,99999,VARIE,fix_by_name_prefix2
VCAM-5640S-101,99,99,99999,VARIE,fix_by_name_prefix2
V-FDNVUL-0I-SU3YP-00,3,3,03999,CLOUD TECHNOLOGIES,fix_by_name_prefix2
WBEXTWAR3YR-NB-02,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
WEXTWAR3YR-SP-05,17,17,17999,DATACENTER INFRASTRUCTURE,fix_by_name_prefix2
