token,hardware,license_term,support_service,subscription,software,support_physical,maintenance_service,warranty_standard,warranty_extension,bundle_hw_sw_support
appliance,0.7218045112781954,0.020050125313283207,0.05012531328320802,0.17293233082706766,0.0,0.007518796992481203,0.002506265664160401,0.02506265664160401,0.0,0.0
base,0.5,0.1956521739130435,0.02717391304347826,0.14130434782608695,0.13043478260869565,0.0,0.0,0.0,0.005434782608695652,0.0
bretella,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cable,0.8666666666666667,0.0,0.016666666666666666,0.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.0
cat,0.85,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0
catalyst,0.5263157894736842,0.21052631578947367,0.02631578947368421,0.039473684210526314,0.15789473684210525,0.039473684210526314,0.0,0.0,0.0,0.0
cavo,0.9444444444444444,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
cisco,0.2845691382765531,0.44488977955911824,0.052104208416833664,0.08817635270541083,0.07014028056112225,0.05811623246492986,0.0,0.0,0.0,0.002004008016032064
cord,0.9230769230769231,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
enterprise,0.08383233532934131,0.16766467065868262,0.5239520958083832,0.11077844311377245,0.05089820359281437,0.0,0.059880239520958084,0.0,0.0,0.0029940119760479044
hdmi,0.8444444444444444,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0
hpe,0.5390625,0.0,0.2109375,0.0,0.0078125,0.1015625,0.0,0.140625,0.0,0.0
lszh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meraki,0.2514792899408284,0.09171597633136094,0.5798816568047337,0.029585798816568046,0.04142011834319527,0.005917159763313609,0.0,0.0,0.0,0.0
module,0.6470588235294118,0.047058823529411764,0.023529411764705882,0.0,0.2823529411764706,0.0,0.0,0.0,0.0,0.0
network,0.344,0.328,0.024,0.112,0.048,0.0,0.136,0.0,0.0,0.008
normal,0.018617021276595744,0.8563829787234043,0.007978723404255319,0.04521276595744681,0.023936170212765957,0.0,0.04521276595744681,0.0026595744680851063,0.0,0.0
one,0.09722222222222222,0.7291666666666666,0.013888888888888888,0.09722222222222222,0.052083333333333336,0.0,0.010416666666666666,0.0,0.0,0.0
plus,0.27941176470588236,0.20588235294117646,0.12254901960784313,0.21568627450980393,0.0784313725490196,0.00980392156862745,0.024509803921568627,0.00980392156862745,0.014705882352941176,0.0392156862745098
poe,0.9245283018867925,0.0,0.03773584905660377,0.0,0.009433962264150943,0.018867924528301886,0.0,0.009433962264150943,0.0,0.0
port,0.47783251231527096,0.4975369458128079,0.014778325123152709,0.0,0.0049261083743842365,0.0049261083743842365,0.0,0.0,0.0,0.0
power,0.7916666666666666,0.013888888888888888,0.013888888888888888,0.0,0.0,0.16666666666666666,0.0,0.013888888888888888,0.0,0.0
premium,0.08771929824561403,0.04093567251461988,0.5087719298245614,0.23391812865497075,0.05847953216374269,0.0,0.04093567251461988,0.023391812865497075,0.0,0.005847953216374269
pro,0.22727272727272727,0.4090909090909091,0.11818181818181818,0.09090909090909091,0.06363636363636363,0.06363636363636363,0.0,0.01818181818181818,0.00909090909090909,0.0
rj45,0.8,0.0,0.022222222222222223,0.0,0.1111111111111111,0.022222222222222223,0.044444444444444446,0.0,0.0,0.0
security,0.17073170731707318,0.4532520325203252,0.14634146341463414,0.07317073170731707,0.06707317073170732,0.0,0.08536585365853659,0.0,0.0,0.0040650406504065045
series,0.3941176470588235,0.3235294117647059,0.0058823529411764705,0.052941176470588235,0.058823529411764705,0.13529411764705881,0.0058823529411764705,0.011764705882352941,0.011764705882352941,0.0
server,0.6542553191489362,0.1622340425531915,0.0425531914893617,0.05053191489361702,0.0,0.0026595744680851063,0.08776595744680851,0.0,0.0,0.0
sfp,0.8266666666666667,0.0,0.09333333333333334,0.0,0.0,0.0,0.08,0.0,0.0,0.0
standard,0.1377551020408163,0.1326530612244898,0.21428571428571427,0.16326530612244897,0.1683673469387755,0.030612244897959183,0.12755102040816327,0.00510204081632653,0.0,0.02040816326530612
subscription,0.0,0.0,0.0,0.9497991967871486,0.0,0.0,0.0,0.0,0.0,0.050200803212851405
threat,0.5989847715736041,0.14213197969543148,0.005076142131979695,0.08121827411167512,0.17258883248730963,0.0,0.0,0.0,0.0,0.0
usb,0.8484848484848485,0.0,0.030303030303030304,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.0
user,0.06143344709897611,0.7133105802047781,0.023890784982935155,0.13993174061433447,0.05460750853242321,0.0,0.006825938566552901,0.0,0.0,0.0
utp,0.875,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625
