Nome LOB,lob_per_nome
ALTRI IMPIANTI TECNOLOGICI,1
ALTRI RICAVI E PROVENTI,1
ALTRO DATA CENTER,1
ALTRO MATERIALE,1
ALTRO SECURITY,1
APPARATI,1
APPARATI ALLOT,1
APPARATI CISCO IOT,1
APPARATI CISCO LAN,1
APPARATI CISCO WAN,1
APPARATI CISCO WIRELESS,1
APPARATI HP,1
APPARATI VARI,1
ARMADI,1
AUDIO VIDEO - TELEPRESENCE ROOM,1
BUILDING AUTOMATION,2
CABLAGGI COMMSCOPE,1
CABLAGGIO ALTERNATIVO,1
CABLAGGIO PANDUIT,1
CERTEGO ATTIVITÀ VARIA,1
CERTEGO SERVIZI CONTINUATIVI,1
CERTEGO SERVIZI CUSTOM,1
CERTEGO STARTUP SERVIZI,1
CHECKPOINT SECURITY,1
CISCO COLLABORATION A CANONE,1
CISCO MERAKI,1
CISCO SECURITY,1
CISCO VIDEOCONFERENZA/BOARD,1
CLOUD TECHNOLOGIES,1
CLOUD VARIE HW,1
CLOUD VARIE SW,1
COHESITY,1
COLLABORATION,1
CONNETTIVITA',1
CONSULENZA TECNICA,1
CONSULENZA TECNICA PER LA PRODUZIONE,1
CONTROLLI ACCESSI,1
CONTROLLO ACCESSI,1
CORSI IN AULA,1
COSTI INSTALLAZIONE E CONSULENZA,1
CYBERGURU - PRIMA VENDITA,1
CYBERGURU - RINNOVO,1
DATACENTER INFRASTRUCTURE,1
DIGITAL BUILDING,1
FORCEPOINT SECURITY,1
FORTINET SECURITY,1
IMPIANTI,1
INSTALLAZIONE CLOUD TECHNOLOGIES,1
INSTALLAZIONE COLLABORATION,1
INSTALLAZIONE DATA CENTER,1
INSTALLAZIONE DIGITAL BUILDING,1
MANUTENZIONI INTERNE,1
MCAFEE SECURITY,1
MERCI C/ACQUISTI,1
NEEN OPEX NUOVO CLIENTE,1
NEEN OPEX RINNOVO,1
NEEN SERVIZI PROFESSIONALI UNA TANTUM,1
NOLEGGIO BENI DI TERZI,1
NUOVO CERTEGO SERVIZI CUSTOM,1
NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,1
NUTANIX,1
PREMI/SCONTI,1
PSS CISCO,1
RADWARE SECURITY,1
RED HAT,1
RINNOVO CHECKPOINT SECURITY,1
RINNOVO CISCO COLLABORATION A CANONE,1
RINNOVO CISCO MERAKI,1
RINNOVO COHESITY,1
RINNOVO FORCEPOINT SECURITY,1
RINNOVO FORTINET SECURITY,1
RINNOVO MACAFEE SECURITY,1
RINNOVO RADWARE SECURITY,1
RINNOVO RED HAT,1
RINNOVO RUBRIK,1
RINNOVO SOFTWARE CITRIX,1
RINNOVO SOFTWARE MICROSOFT,1
RINNOVO SOFTWARE TREND MICRO,1
RINNOVO SOFTWARE VMWARE,1
RINNOVO SOLUZIONE BACKUP ALTRO,1
RINNOVO SOLUZIONE NETAPP,1
RINNOVO STORAGE HITACHI,1
RINNOVO TREND MICRO TRAMITE AWS,1
ROUTER TELEFONIA,1
RUBRIK,1
SECURITY CISCO IOT,1
SERVER CISCO,1
SERVER HP,1
SERVIZI CLOUD UP,1
SERVIZI OUTSOURCING,1
SERVIZI SISTEMI SCHNEIDER,1
SISTEMI ANTINCENDIO,1
SISTEMI SCHNEIDER,1
SMARTNET CISCO,1
SOFTWARE CITRIX,1
SOFTWARE MICROSOFT,1
SOFTWARE VMWARE,1
SOLUZIONE BACKUP ALTRO,1
SOLUZIONE NETAPP,1
SPESE TRASPORTO FORNITORI,1
STORAGE HITACHI,1
STORAGE IPERCONVERGENZA CISCO,1
SVILUPPO APPLICATIVO CUSTOM,1
SW INTEGRATION,1
SW USO INTERNO VEM,1
TBD******,1
TELEFONIA IP,1
TELEFONIA SERVER,1
TELEFONIA SOFTWARE,1
TERZISTI DELIVERY CANONI,1
TERZISTI DELIVERY INSTALLAZIONI,1
TREND MICRO PRIMA VENDITA,1
TREND MICRO TRAMITE AWS PRIMA VENDITA,1
VARIE,1
VIDEOSORVEGLIANZA,2
